"Só não deis 05 pq, apesar de chegar na data correta, chegou após o horário comercial (após as 19:00 hs). Mas o curto prazo de entrega me deixou bastante satisfeito.","2015-12-08 21:32:11"
"Show. Melhorar só os prećos.","2015-12-08 21:27:29"
"Atendimento eficiente e rápido. E os produtos valem a pena.","2015-12-08 21:29:32"
"fácil e a entrega foi rápida.","2015-12-08 21:31:31"
"EU ACHEI ÓTIMO! SUPER INDICO ","2015-12-08 21:32:04"
"A entrega foi bem rápida, e dentro do esperado, adorei as amostras.","2015-12-08 21:34:37"
"Entregaram em perfeito estado. Preço bom, frete bom, recomendo","2015-12-08 21:36:21"
"Amei o chaveiro de presente e o capricho da embalagem! Parabéns!","2015-12-08 21:38:35"
"Loja maravilhosa.  Excelentes produtos.  Prazo cumprido tudo certinho. Parabéns à loja Marquinho motos!!!","2015-12-08 21:42:50"
"A data de entrega não é a mesma que se diz no ato da compra.
Produto mostra-se como a pronta e entrega e depois da compra efetuada é que fui informada que o produto estava em produção.","2015-12-08 21:52:49"
"chegou no prazo combinado. tudo em ordem.","2015-12-08 21:51:03"
"entrega em dia. tudo certo.","2015-12-08 21:52:12"
"Ótimo. Chegou antes do previsto.","2015-12-08 22:00:54"
"otimo","2015-12-08 22:06:11"
"Excelente!!! recomendo!!!","2015-12-08 22:07:40"
"Muito rápido e efici","2015-12-08 22:08:23"
"Achei a experiência muito boa","2015-12-08 22:27:31"
"Perfeita e a entrega foi rapida","2015-12-08 22:36:58"
"Muito bom ","2015-12-08 22:37:03"
"Muito bom, entrega rápida.","2015-12-08 22:37:01"
"Show de bola","2015-12-08 22:44:44"
"excelente","2015-12-08 22:44:51"
"Ótima experiência. Loja séria e produtos honestos. Certamente é onde farei minhas próximas compras.","2015-12-08 22:50:15"
"Excelente","2015-12-08 22:54:41"
"Loja muito boa, com preços ótimos.","2015-12-08 23:11:21"
"Entrega rápida, dentro do prazo estipulado. A empresa nos mantém informados a cada etapa do processo, desde a efetivação da compra até a entrega do produto. ","2015-12-08 23:26:24"
"Muito bom msm,adorei !","2015-12-08 23:30:15"
"Loja 100% confiável, entrega super rápida, estou satisfeitíssimo com a loja.","2015-12-08 23:33:28"
"Fácil de comprar...Só a entrega que demora um pouco.
","2015-12-08 23:34:03"
"Loja confiável, com produtos lindos que me servem.","2015-12-08 23:38:31"
"Gostei de comprar na loja. Os produtos são entregues sempre no prazo e algumas vezes até antes. Além disso os produtos vêm sempre muito bem embalados.","2015-12-08 23:46:58"
"Incrivelmente atensiosos, houve problema com o meu produto, mas se dispuseram a resolver e ainda me deram um a mais de brinde. Incríveis.","2015-12-08 23:52:03"
"loja de confiança, eu recomendo.","2015-12-08 23:54:44"
"Gostei muito de comprar de vocês. ","2015-12-08 23:55:27"
"muito bom, só não achei legal é que da opção de pagar em 4x, mas na realidade só divide em 3x","2015-12-08 23:59:42"
"O preço e o atendimento e a entrega foi ótimo.","2015-12-09 00:00:06"
"Loja esta de parabens , todas as compras com recebimento entregues antes do prazo , otimo atendimento e realmente a loja que se preocupa com a satiafaçao do cliente ..estao de parabens ","2015-12-09 00:07:54"
"então sem palavras a lojas todas ta parabens muito bons no começo eu tava em duvida mas depois que a vendedora me ligou ai eu fiquei tranquilo uma ótima lojas sem medo de comprar e compraria de novo é só eu precisar","2015-12-09 00:06:00"
"ATENDIMENTO RÁPIDO, ESCLARECEU RAPIDAMENTE MINHAS DUVIDAS... SEM CONTAR QUE FOI ENTRGUE ANTES DO PRAZO.
ADOREI!!!","2015-12-09 00:11:49"
" nao tem a opicao mumeracao
","2015-12-09 00:10:21"
"Fácil  para comprar  e a entrega  pelo e-sedex ocorreu como previsto em 3 dias.","2015-12-09 00:28:42"
"chego no prazo esperado,tao de parabens","2015-12-09 00:33:23"
"Infelizmente não atendeu as minhas expectativas!!!","2015-12-09 00:41:05"
"Primeira vez que comprei no Super Muffato e gostei, respeitaram o prazo de entrega, sem problemas.","2015-12-09 00:43:42"
"Excelente loja!!!","2015-12-09 01:16:19"
"gente super recomendo as lojas Pompeia , otimo atendimento ,produtos lindos e preços otimos","2015-12-09 01:22:34"
"Empresa ótima para promoções com produtos de qualidade.","2015-12-09 01:23:53"
"Loja top!","2015-12-09 01:25:20"
"TIVE AZAR ... MUITA DEMORA NA ENTREGA E ME DECEPCIONEI COM O MATERIAL !!!","2015-12-09 01:33:53"
"Fácil navegação na página, mas as descrições dos produtos poderiam ser mais elaboradas, algumas deixam dúvidas.","2015-12-09 01:48:01"
"Entrega super rápida e produto de qualidade. ","2015-12-09 02:01:25"
"ahei tanto o cinto quanto a carteira que comprei SHOW!!!
e detalhe,,,sao de couro legítimo mesmoo!!
Fiquei impressionada com a organização da loja e a eficiência,,,,veio nas caixinhas personalizadas e tudo mais.
Arrazaram!!!","2015-12-09 02:00:28"
"Bem legal e o atendimento ótimo","2015-12-09 02:03:45"
"Comprei dois produtos num domingo, e na quarta feira ele já tinha sido encaminhado para minha casa, sem demora alguma, a cada mudança de destinatário um e-mail era enviado para mim... umas das melhores lojas na qual já comprei, Recomendo","2015-12-09 02:07:17"
"Mandei um email informando q nai recebi o  produto e nao fui respondida","2015-12-09 02:12:27"
"eu achei otimo,entrega bem protegida e no prazo","2015-12-09 02:13:29"
"Excelente loja, produtos chegar antes dos prazos...","2015-12-09 02:17:59"
"Muito eficiente, recomendo! 


","2015-12-09 02:26:35"
"Comprei pela primeira vez e gostei, espero fazer novas compras futuramente.","2015-12-09 02:33:30"
"ótima","2015-12-09 02:35:09"
"Eu achei ótima ate a faze da entraga que eu tive que buscar nos Correios ","2015-12-09 02:36:00"
"Uma das melhores lojas virtuais em que eu já comprei. Atenciosa com o cliente, muito cuidadosa com o produto e muito rápida. Sem contar que ela mesma faz o rastreio e informa por e-mail. Super eficiente! Parabéns!!!","2015-12-09 02:46:20"
"estou muito chateada pois veio um prato grande quebrado , como serei ressarcida???Vcs vão me mandar um outro????","2015-12-09 03:17:26"
"A loja entregou o produto rapidamente.","2015-12-09 04:04:48"
